"date","name","description","type","locations"
"2005-03-14","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Vic"
"2005-03-14","Eight Hours Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Tas"
"2005-03-17","St Patrick's Day","St Patrick’s Day is a popular observance in Australia to honor Irish culture and commemorate one of Ireland’s patron saints, St Patrick.","Observance","All"
"2005-03-20","Palm Sunday","Palm Sunday in Australia celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"2005-03-20","March Equinox",NA,"Season","All"
"2005-03-21","Canberra Day","Canberra Day is a public holiday that celebrates Canberra’s official founding in the Australian Capital Territory.","Local holiday","ACT"
"2005-03-21","Harmony Day","Harmony Day is a national observance that celebrates Australia’s cultural, linguistic and religious diversity on March 21 every year.","Observance","All"
"2005-03-24","Maundy Thursday","Many Christians in the Australia celebrate Maundy Thursday on the Thursday before Good Friday.","Christian","All"
"2005-03-25","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"2005-03-25","Good Friday","Good Friday is two days before Easter Sunday and is a national holiday in Australia.","National holiday, Christian","All"
"2005-03-27","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"2005-03-26","Holy Saturday","Holy Saturday is the day before Easter Sunday and is a public holiday in some states and the two territories in Australia.","National holiday, Christian","All"
"2005-03-27","Easter Day","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Observance, Christian","All"
"2005-03-28","Easter Monday","Easter Monday is the day after Easter Sunday and is a nationwide holiday in Australia.","National holiday, Christian","All"
"2005-03-29","Easter Tuesday","Easter Tuesday is a public holiday in the Australian state of Tasmania.","Local holiday","Tas"
"2005-04-21","Milad un Nabi (Mawlid)","Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.","Muslim","All"
"2005-04-24","First day of Passover"," Passover is a Jewish observance of the liberation from slavery and the Israelites' exodus from Egypt around 3000 years ago.","Hebrew","All"
"2005-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","ACT, Tas, Vic, Christmas Island, Norfolk Island, Cocos and Keeling Islands, Heard and McDonald Islands"
"2005-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","NSW, NT, Qld, SA"
"2005-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","WA"
"2005-04-29","Orthodox Good Friday","Many Orthodox Christians in Australia remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
"2005-04-30","Orthodox Holy Saturday","Many Orthodox Christians in Australia remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.","Orthodox","All"
"2005-05-01","Last day of Passover","The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","Hebrew","All"
"2005-05-01","Orthodox Easter","Many Orthodox Christians in Australia celebrate Jesus Christ’s resurrection on Easter Sunday, also known as Pascha.","Orthodox","All"
"2005-05-02","Orthodox Easter Monday","Many Orthodox churches in Australia observe Easter Monday on the day after the Orthodox Easter Sunday date.","Orthodox","All"
"2005-05-02","May Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NT"
"2005-05-02","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Qld"
"2005-05-04","Yom HaShoah","Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.","Hebrew","All"
"2005-05-05","Ascension Day","Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.","Christian","All"
"2005-05-08","Mother's Day","Mother’s Day is celebrated in Australia on the second Sunday of May each year.","Observance","All"
"2005-05-12","Yom HaAtzmaut","Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2005-05-15","Pentecost","Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"2005-05-16","Whit Monday","Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.","Christian","All"
"2005-05-16","Adelaide Cup","Adelaide Cup is a state holiday and a horse racing event in South Australia.","Local holiday","SA"
"2005-05-22","Trinity Sunday","Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.","Christian","All"
"2005-05-26","Corpus Christi","Corpus Christi is a Christian observance that honors the Holy Eucharist.","Christian","All"
"2005-05-26","National Day of Healing","National Sorry Day is an Australia-wide observance that acknowledges the impact of Australia’s Stolen Generations.","Observance","All"
"2005-05-27","Lag B'Omer","Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"2005-06-06","Foundation Day","Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.","Common local holiday","WA"
"2005-06-06","Queensland Day","Queenslanders commemorate their state’s birthday on Queensland Day in Australia.","Local observance","All"
"2005-06-13","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.","Hebrew","All"
"2005-06-13","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","All except Qld, WA"
"2005-06-13","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","Qld"
"2005-06-21","June Solstice",NA,"Season","All"
"2005-07-03","First Day of NAIDOC Week",NA,"Observance","All"
"2005-08-01","New South Wales Bank Holiday","The New South Wales Bank Holiday falls on the first Monday of August.","Local holiday","NSW"
"2005-08-01","Northern Territory Picnic Day","Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.","Local holiday","NT"
"2005-08-14","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"2005-08-15","Assumption of Mary","The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.","Christian","All"
"2005-08-17","Royal National Agricultural Show Day Queensland","The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.","Local holiday","Qld"
"2005-09-01","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"2005-09-04","Father's Day","Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.","Observance","All"
"2005-09-23","September Equinox",NA,"Season","All"
"2005-09-26","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","WA"
"2005-10-03","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NSW, ACT"
"2005-10-03","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","SA"
"2005-10-04","Feast of St Francis of Assisi","Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
